# I[A]      B[mT]
0.0          7.6
0.5         51.5
1.0         98.0
1.5         144.1
2.0         195.6
2.5         243.2
3.0         290.0
3.5         336.1
4.0         380.8
4.5         421.8
5.0         459.7
5.5         493.3
6.0         519.4
6.5         541.2
7.0         559.9
7.5         576.4
8.0         591.4
7.5         578.0
7.0         564.1
6.5         545.9
6.0         526.2
5.5         499.4
5.0         468.9
4.5         431.3
4.0         391.8
3.5         344.5
3.0         290.6
2.5         251.6
2.0         203.2
1.5         149.9
1.0         103.8
0.5         56.5
0           7.6
